ERROR 2021-11-19 10:05:27,350 Unable to open ./favicon.ico api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:07:16,083 Unable to open ./favicon.ico api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:11:22,633 Unable to open ./css/app.32aef7f9.css api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:11:22,876 Unable to open ./css/chunk-vendors.c2efb038.css api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:11:22,937 Unable to open ./js/app.e1e4eb07.js api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:11:22,937 Unable to open ./js/chunk-vendors.9a5baea1.js api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:11:22,938 Unable to open ./neutralino.js api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:11:22,938 Unable to open ./css/chunk-2a4e6cda.69e2ad8e.css api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:11:22,938 Unable to open ./css/chunk-3b5e7677.47620542.css api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:11:23,182 Unable to open ./js/chunk-vendors.9a5baea1.js api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:11:23,246 Unable to open ./js/app.e1e4eb07.js api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:11:23,246 Unable to open ./css/chunk-5019b404.95000294.css api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:11:23,246 Unable to open ./css/chunk-c6613eee.d0a786be.css api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:11:23,247 Unable to open ./css/chunk-c66c6efe.9d2e5cd5.css api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:11:23,247 Unable to open ./js/about.a04fcecc.js api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:11:23,487 Unable to open ./favicon.ico api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:11:23,564 Unable to open ./js/chunk-2a4e6cda.97d45ded.js api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:11:23,564 Unable to open ./js/chunk-2d0b9d2c.c99bb518.js api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:11:23,564 Unable to open ./js/chunk-2d0d0083.cbed6e34.js api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:11:23,564 Unable to open ./js/chunk-2d0f0898.eb46edb1.js api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:11:23,564 Unable to open ./js/chunk-2d213000.923360b0.js api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:11:23,799 Unable to open ./js/chunk-3b5e7677.07a7e74a.js api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:11:23,877 Unable to open ./js/chunk-5019b404.ae1f70a7.js api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:11:23,877 Unable to open ./js/chunk-c6613eee.67f7f763.js api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
ERROR 2021-11-19 10:11:23,877 Unable to open ./js/chunk-c66c6efe.138b18bb.js api/debug/debug.cpp:15 test@DESKTOP-G5KE6JD
