TSTimePointResult
Time,Area South Texas Load MW,Area South Texas Load Mvar
0.000000,2600.0008,1060.0005
0.500000,2601.6212,1060.7381
1.000000,2604.5830,1061.9955
1.500000,2607.2115,1063.1199
2.000000,2609.8349,1064.2377
2.500000,2612.0560,1065.2061
3.000000,2614.7623,1066.3632
3.500000,2617.5982,1067.5645
4.000000,2620.6881,1068.8663
4.500000,2623.7247,1070.1515
5.000000,2626.5379,1071.3500
5.500000,2629.3722,1072.5560
6.000000,2631.9365,1073.6606
6.500000,2634.4175,1074.7335
7.000000,2636.8635,1075.7896
7.500000,2639.4253,1076.8908
8.000000,2642.0380,1078.0118
8.500000,2644.7184,1079.1578
9.000000,2647.5391,1080.3574
9.500000,2650.3538,1081.5560
10.000000,2653.0846,1082.7229
10.500000,2655.7270,1083.8545
11.000000,2658.3719,1084.9873
11.500000,2660.9751,1086.1053
12.000000,2663.5609,1087.2166
12.500000,2666.1510,1088.3286
13.000000,2668.7811,1089.4566
13.500000,2671.3900,1090.5761
14.000000,2674.0160,1091.7021
14.500000,2676.6665,1092.8378
15.000000,2679.2826,1093.9607
15.500000,2681.8939,1095.0814
16.000000,2684.5213,1096.2080
16.500000,2687.1246,1097.3258
17.000000,2689.7173,1098.4403
17.500000,2692.2888,1099.5467
18.000000,2694.8185,1100.6364
18.500000,2697.3858,1101.7397
19.000000,2699.9786,1102.8536
19.500000,2702.5642,1103.9659
20.000000,2705.1371,1105.0718
20.500000,2707.6893,1106.1683
21.000000,2710.2571,1107.2732
21.500000,2712.7340,1108.3435
22.000000,2715.2197,1109.4151
22.500000,2717.8396,1110.5379
23.000000,2720.3987,1111.6400
23.500000,2722.9057,1112.7217
24.000000,2725.4162,1113.8021
24.500000,2727.9688,1114.9015
25.000000,2730.4251,1115.9650
25.500000,2732.8203,1117.0018
26.000000,2735.3079,1118.0734
26.500000,2737.7695,1119.1385
27.000000,2740.2109,1120.1954
27.500000,2742.7160,1121.2719
28.000000,2745.2782,1122.3726
28.500000,2747.8203,1123.4711
29.000000,2750.2148,1124.5098
29.500000,2752.7435,1125.5966
30.000000,2755.2702,1126.6863
30.500000,2757.6515,1127.7227
31.000000,2759.9537,1128.7236
31.500000,2762.3842,1129.7729
32.000000,2764.8254,1130.8309
32.500000,2767.1442,1131.8408
33.000000,2769.5734,1132.8891
33.500000,2772.0619,1133.9619
34.000000,2774.4949,1135.0170
34.500000,2776.8211,1136.0277
35.000000,2779.2603,1137.0809
35.500000,2781.7177,1138.1452
36.000000,2783.9951,1139.1408
36.500000,2786.2854,1140.1354
37.000000,2788.7251,1141.1879
37.500000,2791.1617,1142.2461
38.000000,2793.4011,1143.2262
38.500000,2795.7481,1144.2420
39.000000,2798.2386,1145.3164
39.500000,2800.5899,1146.3430
40.000000,2802.7966,1147.3087
40.500000,2805.1397,1148.3204
41.000000,2807.5602,1149.3682
41.500000,2809.8225,1150.3592
42.000000,2811.9862,1151.3059
42.500000,2814.3354,1152.3220
43.000000,2816.6969,1153.3494
43.500000,2818.8780,1154.3071
44.000000,2821.1237,1155.2838
44.500000,2823.4434,1156.2911
45.000000,2825.7959,1157.3162
45.500000,2827.9114,1158.2457
46.000000,2830.1741,1159.2279
46.500000,2832.5422,1160.2560
47.000000,2834.7233,1161.2144
47.500000,2836.8719,1162.1553
48.000000,2839.1661,1163.1510
48.500000,2841.4648,1164.1545
49.000000,2843.5608,1165.0797
49.500000,2845.7197,1166.0229
50.000000,2848.1014,1167.0547
50.500000,2850.2974,1168.0183
51.000000,2852.3981,1168.9412
51.500000,2854.5551,1169.8822
52.000000,2856.8327,1170.8755
52.500000,2858.8779,1171.7806
53.000000,2860.9091,1172.6744
53.500000,2863.1327,1173.6418
54.000000,2865.3913,1174.6296
54.500000,2867.4648,1175.5444
55.000000,2869.5665,1176.4627
55.500000,2871.8447,1177.4539
56.000000,2873.9954,1178.4011
56.500000,2875.9907,1179.2838
57.000000,2878.0666,1180.1929
57.500000,2880.2624,1181.1555
58.000000,2882.2926,1182.0553
58.500000,2884.2665,1182.9278
59.000000,2886.4311,1183.8723
59.500000,2888.6436,1184.8422
60.000000,2890.6431,1185.7286
60.500000,2892.6552,1186.6134
61.000000,2894.7792,1187.5433
61.500000,2896.8960,1188.4756
62.000000,2898.8058,1189.3240
62.500000,2900.8202,1190.2086
63.000000,2902.8790,1191.1155
63.500000,2904.9015,1192.0111
64.000000,2906.8054,1192.8556
64.500000,2908.8848,1193.7672
65.000000,2910.9375,1194.6732
65.500000,2912.8862,1195.5389
66.000000,2914.7991,1196.3852
66.500000,2916.8791,1197.2978
67.000000,2918.8885,1198.1894
67.500000,2920.7289,1199.0127
68.000000,2922.6683,1199.8678
68.500000,2924.7595,1200.7856
69.000000,2926.7790,1201.6812
69.500000,2928.6146,1202.4990
70.000000,2930.5742,1203.3635
70.500000,2932.5647,1204.2450
71.000000,2934.3191,1205.0360
71.500000,2936.1889,1205.8632
72.000000,2938.1792,1206.7387
72.500000,2940.1806,1207.6254
73.000000,2941.9178,1208.4064
73.500000,2943.8347,1209.2520
74.000000,2945.7850,1210.1155
74.500000,2947.5937,1210.9283
75.000000,2949.2716,1211.6836
75.500000,2951.2110,1212.5378
76.000000,2953.1754,1213.4089
76.500000,2954.9177,1214.1951
77.000000,2956.6124,1214.9546
77.500000,2958.6147,1215.8344
78.000000,2960.5745,1216.7067
78.500000,2962.1851,1217.4402
79.000000,2963.9914,1218.2401
79.500000,2966.0110,1219.1295
80.000000,2967.8427,1219.9542
80.500000,2969.4101,1220.6660
81.000000,2971.2038,1221.4616
81.500000,2973.1403,1222.3213
82.000000,2974.6910,1223.0325
82.500000,2976.3346,1223.7709
83.000000,2978.1977,1224.5957
83.500000,2980.0039,1225.4069
84.000000,2981.6261,1226.1415
84.500000,2983.2996,1226.8897
85.000000,2985.1809,1227.7246
85.500000,2986.9223,1228.5120
86.000000,2988.4277,1229.1996
86.500000,2990.2145,1229.9923
87.000000,2992.0555,1230.8140
87.500000,2993.6939,1231.5590
88.000000,2995.2446,1232.2608
88.500000,2997.0455,1233.0627
89.000000,2998.7583,1233.8375
89.500000,3000.2039,1234.5033
90.000000,3001.9007,1235.2612
90.500000,3003.6512,1236.0453
91.000000,3005.2605,1236.7777
91.500000,3006.7249,1237.4451
92.000000,3008.5304,1238.2444
92.500000,3010.2467,1239.0176
93.000000,3011.7334,1239.7009
93.500000,3013.2248,1240.3787
94.000000,3014.9323,1241.1438
94.500000,3016.5092,1241.8623
95.000000,3017.9390,1242.5204
95.500000,3019.5456,1243.2446
96.000000,3021.1636,1243.9774
96.500000,3022.6475,1244.6589
97.000000,3024.0961,1245.3205
97.500000,3025.7175,1246.0498
98.000000,3027.4105,1246.8147
98.500000,3028.7689,1247.4463
